,spec,count,plot.id,compartment
1,TRP,1,N3_1_10,reg_logged
2,RI,1,N3_1_10,reg_logged
3,MEL,1,N3_1_10,reg_logged
4,CYA,1,N3_1_10,reg_logged
5,AZ,1,N3_1_10,reg_logged
6,CPR,1,N3_1_10,reg_logged
7,TH,1,N3_1_10,reg_logged
8,CYA,1,N3_1_10,reg_logged
9,CYA,1,N3_1_10,reg_logged
10,KA,1,N3_1_10,reg_logged
11,ANT,1,N3_1_10,reg_logged
12,ANT,1,N3_1_10,reg_logged
13,ANT,1,N3_1_10,reg_logged
14,CYA,1,N3_1_10,reg_logged
15,CYA,1,N3_1_10,reg_logged
16,CYA,1,N3_1_10,reg_logged
17,RI,1,N3_1_10,reg_logged
18,CYA,1,N3_1_10,reg_logged
19,RI,1,N3_1_10,reg_logged
20,CYA,1,N3_1_10,reg_logged
21,CMI,1,N3_1_10,reg_logged
22,LM,1,N3_1_10,reg_logged
23,TRP,1,N3_1_10,reg_logged
24,LM,1,N3_1_10,reg_logged
25,RI,1,N3_1_10,reg_logged
26,RI,1,N3_1_10,reg_logged
27,RI,1,N3_1_10,reg_logged
28,RI,1,N3_1_10,reg_logged
29,LM,1,N3_1_10,reg_logged
30,RI,1,N3_1_10,reg_logged
31,RI,1,N3_1_10,reg_logged
32,LM,1,N3_1_10,reg_logged
33,RI,1,N3_1_10,reg_logged
34,LM,1,N3_1_20,reg_logged
35,LM,1,N3_1_20,reg_logged
36,CYA,1,N3_1_20,reg_logged
37,LM,1,N3_1_20,reg_logged
38,KA,1,N3_1_20,reg_logged
39,CYA,1,N3_1_20,reg_logged
40,TRP,1,N3_1_20,reg_logged
41,LM,1,N3_1_20,reg_logged
42,LM,1,N3_1_20,reg_logged
43,LM,1,N3_1_20,reg_logged
44,CMI,1,N3_1_20,reg_logged
45,AZ,1,N3_1_20,reg_logged
46,AZ,1,N3_1_20,reg_logged
47,AZ,1,N3_1_20,reg_logged
48,AZ,1,N3_1_20,reg_logged
49,LM,1,N3_1_20,reg_logged
50,LM,1,N3_1_20,reg_logged
51,LM,1,N3_1_20,reg_logged
52,CMI,1,N3_1_20,reg_logged
53,CMI,1,N3_1_20,reg_logged
54,CMI,1,N3_1_20,reg_logged
55,CPR,1,N3_1_20,reg_logged
56,TH,1,N3_1_20,reg_logged
57,LM,1,N3_1_20,reg_logged
58,LM,1,N3_1_20,reg_logged
59,LM,1,N3_1_30,reg_logged
60,LM,1,N3_1_30,reg_logged
61,TRR,1,N3_1_30,reg_logged
62,CYA,1,N3_1_30,reg_logged
63,CYA,1,N3_1_30,reg_logged
64,COG,1,N3_1_30,reg_logged
65,LM,1,N3_1_30,reg_logged
66,TH,1,N3_1_30,reg_logged
67,CYA,1,N3_1_30,reg_logged
68,AL,1,N3_1_30,reg_logged
69,BP,1,N3_1_30,reg_logged
70,BP,1,N3_1_30,reg_logged
71,CWI,1,N3_1_30,reg_logged
72,LM,1,N3_1_30,reg_logged
73,CAL,1,N3_1_30,reg_logged
74,CYA,1,N3_1_30,reg_logged
75,AL,1,N3_1_30,reg_logged
76,TRR,1,N3_1_30,reg_logged
77,CYA,1,N3_1_30,reg_logged
78,TRR,1,N3_1_30,reg_logged
79,FSU,1,N3_1_30,reg_logged
80,TN,1,N3_1_30,reg_logged
81,CYA,1,N3_1_30,reg_logged
82,CYA,1,N3_1_30,reg_logged
83,CYA,1,N3_1_30,reg_logged
84,CAL,1,N3_1_30,reg_logged
85,TRR,1,N3_1_30,reg_logged
86,CYA,1,N3_1_30,reg_logged
87,LM,1,N3_1_40,reg_logged
88,LM,1,N3_1_40,reg_logged
89,LM,1,N3_1_40,reg_logged
90,LM,1,N3_1_40,reg_logged
91,TH,1,N3_1_40,reg_logged
92,LM,1,N3_1_40,reg_logged
93,LM,1,N3_1_40,reg_logged
94,LM,1,N3_1_40,reg_logged
95,TRR,1,N3_1_40,reg_logged
96,CYA,1,N3_1_40,reg_logged
97,AL,1,N3_1_40,reg_logged
98,CYA,1,N3_1_40,reg_logged
99,LM,1,N3_1_40,reg_logged
100,LM,1,N3_1_40,reg_logged
101,LM,1,N3_1_40,reg_logged
102,LM,1,N3_1_40,reg_logged
103,LM,1,N3_1_40,reg_logged
104,CYA,1,N3_1_40,reg_logged
105,CYA,1,N3_1_40,reg_logged
106,CYA,1,N3_1_40,reg_logged
107,AZ,1,N3_1_40,reg_logged
108,CYA,1,N3_1_40,reg_logged
109,TH,1,N3_1_40,reg_logged
110,LM,1,N3_1_40,reg_logged
111,LM,1,N3_1_40,reg_logged
112,CMI,1,N3_1_40,reg_logged
113,CMI,1,N3_1_40,reg_logged
114,CMI,1,N3_1_40,reg_logged
115,LM,1,N3_1_40,reg_logged
116,LM,1,N3_1_40,reg_logged
117,LM,1,N3_1_40,reg_logged
118,CPR,1,N3_1_40,reg_logged
119,LM,1,N3_1_40,reg_logged
120,LM,1,N3_1_40,reg_logged
121,LM,1,N3_1_40,reg_logged
122,TN,1,N3_1_40,reg_logged
123,LM,1,N3_1_40,reg_logged
124,TH,1,N3_1_40,reg_logged
125,TH,1,N3_1_40,reg_logged
126,AZ,1,N3_1_40,reg_logged
127,LM,1,N3_1_40,reg_logged
128,LM,1,N3_1_50,reg_logged
129,LM,1,N3_1_50,reg_logged
130,ANT,1,N3_1_50,reg_logged
131,LM,1,N3_1_50,reg_logged
132,RI,1,N3_1_50,reg_logged
133,RI,1,N3_1_50,reg_logged
134,LM,1,N3_1_50,reg_logged
135,LM,1,N3_1_50,reg_logged
136,ANT,1,N3_1_50,reg_logged
137,RI,1,N3_1_50,reg_logged
138,RI,1,N3_1_50,reg_logged
139,LM,1,N3_1_50,reg_logged
140,LM,1,N3_1_50,reg_logged
141,RI,1,N3_1_50,reg_logged
142,RI,1,N3_1_50,reg_logged
143,RI,1,N3_1_50,reg_logged
144,RI,1,N3_1_50,reg_logged
145,AZ,1,N3_1_50,reg_logged
146,AZ,1,N3_1_50,reg_logged
147,TAF,1,N3_1_50,reg_logged
148,LM,1,N3_1_50,reg_logged
149,MEL,1,N3_1_50,reg_logged
150,STR,1,N3_1_50,reg_logged
151,CMI,1,N3_1_50,reg_logged
152,CMI,1,N3_1_50,reg_logged
153,LM,1,N3_1_50,reg_logged
154,LM,1,N3_1_50,reg_logged
155,LM,1,N3_1_50,reg_logged
156,KA,1,N3_1_50,reg_logged
157,LM,1,N3_1_50,reg_logged
158,TRR,1,N3_1_50,reg_logged
159,LM,1,N3_1_50,reg_logged
160,AZ,1,N3_1_50,reg_logged
161,RI,1,N3_1_50,reg_logged
162,KA,1,N3_1_50,reg_logged
163,RI,1,N3_1_50,reg_logged
164,RI,1,N3_1_50,reg_logged
165,CMI,1,N3_1_50,reg_logged
166,CMI,1,N3_1_50,reg_logged
167,RI,1,N3_1_50,reg_logged
168,LM,1,N3_1_50,reg_logged
169,LM,1,N3_1_50,reg_logged
170,LM,1,N3_1_50,reg_logged
171,LM,1,N3_1_50,reg_logged
172,CYA,1,N3_1_50,reg_logged
173,CMI,1,N3_1_50,reg_logged
174,CMI,1,N3_1_50,reg_logged
175,CMI,1,N3_1_50,reg_logged
176,RI,1,N3_1_50,reg_logged
177,TAF,1,N3_1_50,reg_logged
178,RI,1,N3_1_50,reg_logged
179,TH,1,N3_1_50,reg_logged
180,MYH,1,N3_1_50,reg_logged
181,LM,1,N3_1_50,reg_logged
182,TRP,1,N3_1_50,reg_logged
183,LM,1,N3_1_50,reg_logged
184,LM,1,N3_1_50,reg_logged
185,LM,1,N3_1_50,reg_logged
186,LM,1,N3_1_50,reg_logged
187,LM,1,N3_1_50,reg_logged
188,AZ,1,N3_1_50,reg_logged
189,RI,1,N3_1_50,reg_logged
190,RI,1,N3_1_50,reg_logged
191,AZ,1,N3_1_50,reg_logged
192,LM,1,N3_1_50,reg_logged
193,RI,1,N3_1_50,reg_logged
194,LM,1,N3_1_50,reg_logged
195,LM,1,N3_1_50,reg_logged
196,LM,1,N3_1_50,reg_logged
197,LM,1,N3_1_50,reg_logged
198,AZ,1,N3_1_50,reg_logged
199,LM,1,N3_1_50,reg_logged
200,LM,1,N3_1_50,reg_logged
201,LM,1,N3_1_50,reg_logged
202,LM,1,N3_1_50,reg_logged
203,CYA,1,N3_1_60,reg_logged
204,CAL,1,N3_1_60,reg_logged
205,AL,1,N3_1_60,reg_logged
206,MOA,1,N3_1_60,reg_logged
207,TAF,1,N3_1_60,reg_logged
208,AZ,1,N3_1_60,reg_logged
209,CMI,1,N3_1_60,reg_logged
210,CYA,1,N3_1_60,reg_logged
211,TRP,1,N3_1_60,reg_logged
212,AL,1,N3_1_60,reg_logged
213,TAF,1,N3_1_60,reg_logged
214,ANL,1,N3_1_60,reg_logged
215,RI,1,N3_1_60,reg_logged
216,CMI,1,N3_1_60,reg_logged
217,FUE,1,N3_1_60,reg_logged
218,AL,1,N3_1_60,reg_logged
219,TRP,1,N3_1_60,reg_logged
220,RI,1,N3_1_60,reg_logged
221,MOA,1,N3_1_60,reg_logged
222,TRP,1,N3_1_60,reg_logged
223,AZ,1,N3_1_60,reg_logged
224,CMI,1,N3_1_60,reg_logged
225,ANT,1,N3_1_60,reg_logged
226,GS,1,N3_1_60,reg_logged
227,FUE,1,N3_1_60,reg_logged
228,CYA,1,N3_1_60,reg_logged
229,CMI,1,N3_1_60,reg_logged
230,TRP,1,N3_1_60,reg_logged
231,AL,1,N3_1_60,reg_logged
232,CMI,1,N3_1_60,reg_logged
233,LM,1,N3_1_60,reg_logged
234,GS,1,N3_1_60,reg_logged
235,AZ,1,N3_1_60,reg_logged
236,RI,1,N3_1_70,reg_logged
237,RI,1,N3_1_70,reg_logged
238,CYA,1,N3_1_70,reg_logged
239,RI,1,N3_1_70,reg_logged
240,AZ,1,N3_1_70,reg_logged
241,UNK,1,N3_1_70,reg_logged
242,UNK,1,N3_1_70,reg_logged
243,RI,1,N3_1_70,reg_logged
244,CYA,1,N3_1_70,reg_logged
245,RI,1,N3_1_70,reg_logged
246,RI,1,N3_1_70,reg_logged
247,GS,1,N3_1_70,reg_logged
248,UNK,1,N3_1_70,reg_logged
249,RI,1,N3_1_70,reg_logged
250,TN,1,N3_1_70,reg_logged
251,MA,1,N3_1_70,reg_logged
252,RI,1,N3_1_70,reg_logged
253,RI,1,N3_1_70,reg_logged
254,CYA,1,N3_1_70,reg_logged
255,TN,1,N3_1_70,reg_logged
256,UNK,1,N3_1_70,reg_logged
257,RI,1,N3_1_70,reg_logged
258,AZ,1,N3_1_70,reg_logged
259,AZ,1,N3_1_70,reg_logged
260,AZ,1,N3_1_70,reg_logged
261,AZ,1,N3_1_70,reg_logged
262,AZ,1,N3_1_70,reg_logged
263,RI,1,N3_1_70,reg_logged
264,RI,1,N3_1_70,reg_logged
265,AZ,1,N3_1_70,reg_logged
266,AZ,1,N3_1_70,reg_logged
267,AZ,1,N3_1_70,reg_logged
268,KA,1,N3_1_70,reg_logged
269,RI,1,N3_1_70,reg_logged
270,BP,1,N3_1_70,reg_logged
271,LM,1,N3_1_70,reg_logged
272,LM,1,N3_1_70,reg_logged
273,RI,1,N3_1_70,reg_logged
274,FUE,1,N3_1_70,reg_logged
275,CMI,1,N3_1_70,reg_logged
276,AZ,1,N3_1_70,reg_logged
277,AZ,1,N3_1_70,reg_logged
278,RI,1,N3_1_70,reg_logged
279,RI,1,N3_1_70,reg_logged
280,RI,1,N3_1_70,reg_logged
281,RI,1,N3_1_70,reg_logged
282,RI,1,N3_1_70,reg_logged
283,AZ,1,N3_1_70,reg_logged
284,CYA,1,N3_1_80,reg_logged
285,AZ,1,N3_1_80,reg_logged
286,BEH,1,N3_1_80,reg_logged
287,MA,1,N3_1_80,reg_logged
288,RI,1,N3_1_80,reg_logged
289,AZ,1,N3_1_80,reg_logged
290,AZ,1,N3_1_80,reg_logged
291,TN,1,N3_1_80,reg_logged
292,TAF,1,N3_1_80,reg_logged
293,TRP,1,N3_1_80,reg_logged
294,MA,1,N3_1_80,reg_logged
295,MA,1,N3_1_80,reg_logged
296,ANL,1,N3_1_80,reg_logged
297,CYA,1,N3_1_80,reg_logged
298,TN,1,N3_1_80,reg_logged
299,TH,1,N3_1_80,reg_logged
300,MA,1,N3_1_80,reg_logged
301,MA,1,N3_1_80,reg_logged
302,AZ,1,N3_1_80,reg_logged
303,AZ,1,N3_1_80,reg_logged
304,AZ,1,N3_1_80,reg_logged
305,MYH,1,N3_1_80,reg_logged
306,MA,1,N3_1_80,reg_logged
307,MYH,1,N3_1_80,reg_logged
308,CMI,1,N3_1_80,reg_logged
309,MYH,1,N3_1_80,reg_logged
310,TRP,1,N3_1_80,reg_logged
311,TH,1,N3_1_80,reg_logged
312,DD,1,N3_1_80,reg_logged
313,RI,1,N3_1_90,reg_logged
314,COG,1,N3_1_90,reg_logged
315,CMI,1,N3_1_90,reg_logged
316,RI,1,N3_1_90,reg_logged
317,LM,1,N3_1_90,reg_logged
318,LM,1,N3_1_90,reg_logged
319,RI,1,N3_1_90,reg_logged
320,RI,1,N3_1_90,reg_logged
321,LM,1,N3_1_90,reg_logged
322,CPR,1,N3_1_90,reg_logged
323,ANT,1,N3_1_90,reg_logged
324,RI,1,N3_1_90,reg_logged
325,RI,1,N3_1_90,reg_logged
326,RI,1,N3_1_90,reg_logged
327,RI,1,N3_1_90,reg_logged
328,RI,1,N3_1_90,reg_logged
329,LM,1,N3_1_90,reg_logged
330,LM,1,N3_1_90,reg_logged
331,LM,1,N3_1_90,reg_logged
332,LM,1,N3_1_90,reg_logged
333,LM,1,N3_1_90,reg_logged
334,LM,1,N3_1_90,reg_logged
335,TN,1,N3_1_90,reg_logged
336,RI,1,N3_1_90,reg_logged
337,BEH,1,N3_1_90,reg_logged
338,RI,1,N3_1_90,reg_logged
339,CYA,1,N3_1_90,reg_logged
340,TRR,1,N3_1_90,reg_logged
341,RI,1,N3_1_90,reg_logged
342,AZ,1,N3_1_90,reg_logged
343,RI,1,N3_1_90,reg_logged
344,RI,1,N3_1_90,reg_logged
345,RI,1,N3_1_90,reg_logged
346,RI,1,N3_1_90,reg_logged
347,BEH,1,N3_1_90,reg_logged
348,RI,1,N3_1_90,reg_logged
349,COG,1,N3_1_90,reg_logged
350,COG,1,N3_1_90,reg_logged
351,CYA,1,N3_1_90,reg_logged
352,CYA,1,N3_1_90,reg_logged
353,RI,1,N3_1_90,reg_logged
354,FUE,1,N3_1_100,reg_logged
355,FUE,1,N3_1_100,reg_logged
356,TT,1,N3_1_100,reg_logged
357,AZ,1,N3_1_100,reg_logged
358,FUE,1,N3_1_100,reg_logged
359,AL,1,N3_1_100,reg_logged
360,UC,1,N3_1_100,reg_logged
361,AZ,1,N3_1_100,reg_logged
362,FUE,1,N3_1_100,reg_logged
363,FUE,1,N3_1_100,reg_logged
364,MYH,1,N3_1_100,reg_logged
365,FUE,1,N3_1_100,reg_logged
366,FUE,1,N3_1_100,reg_logged
367,FUE,1,N3_1_100,reg_logged
368,AZ,1,N3_1_100,reg_logged
369,FUE,1,N3_1_100,reg_logged
370,FUE,1,N3_1_100,reg_logged
371,FUE,1,N3_1_100,reg_logged
372,AL,1,N3_1_100,reg_logged
373,CMI,1,N3_1_100,reg_logged
374,AL,1,N3_1_100,reg_logged
375,BEH,1,N3_1_100,reg_logged
376,AZ,1,N3_1_100,reg_logged
377,AZ,1,N3_1_100,reg_logged
378,CMI,1,N3_1_100,reg_logged
379,LM,1,N3_1_100,reg_logged
380,TH,1,N3_1_100,reg_logged
381,CYA,1,N3_1_100,reg_logged
382,LM,1,N3_1_100,reg_logged
383,CLS,1,N3_1_100,reg_logged
384,TH,1,N3_1_110,reg_logged
385,TN,1,N3_1_110,reg_logged
386,FUE,1,N3_1_110,reg_logged
387,FUE,1,N3_1_110,reg_logged
388,FUE,1,N3_1_110,reg_logged
389,ANT,1,N3_1_110,reg_logged
390,AZ,1,N3_1_110,reg_logged
391,KA,1,N3_1_110,reg_logged
392,BEH,1,N3_1_110,reg_logged
393,TN,1,N3_1_110,reg_logged
394,TH,1,N3_1_110,reg_logged
395,RI,1,N3_1_110,reg_logged
396,RI,1,N3_1_110,reg_logged
397,RI,1,N3_1_110,reg_logged
398,RI,1,N3_1_110,reg_logged
399,LM,1,N3_1_110,reg_logged
400,RI,1,N3_1_110,reg_logged
401,RI,1,N3_1_110,reg_logged
402,RI,1,N3_1_110,reg_logged
403,TRP,1,N3_1_110,reg_logged
404,CAL,1,N3_1_110,reg_logged
405,AZ,1,N3_1_110,reg_logged
406,CYA,1,N3_1_120,reg_logged
407,FUE,1,N3_1_120,reg_logged
408,TAF,1,N3_1_120,reg_logged
409,FUE,1,N3_1_120,reg_logged
410,CYA,1,N3_1_120,reg_logged
411,LM,1,N3_1_120,reg_logged
412,CYA,1,N3_1_120,reg_logged
413,LM,1,N3_1_120,reg_logged
414,FUE,1,N3_1_120,reg_logged
415,FUE,1,N3_1_120,reg_logged
416,FUE,1,N3_1_120,reg_logged
417,FUE,1,N3_1_120,reg_logged
418,FUE,1,N3_1_120,reg_logged
419,FUE,1,N3_1_120,reg_logged
420,LM,1,N3_1_120,reg_logged
421,LM,1,N3_1_120,reg_logged
422,FUE,1,N3_1_120,reg_logged
423,FUE,1,N3_1_120,reg_logged
424,CYA,1,N3_1_120,reg_logged
425,LM,1,N3_1_120,reg_logged
426,FUE,1,N3_1_120,reg_logged
427,FUE,1,N3_1_120,reg_logged
428,ANT,1,N3_1_120,reg_logged
429,FUE,1,N3_1_120,reg_logged
430,FUE,1,N3_1_120,reg_logged
431,FUE,1,N3_1_120,reg_logged
432,LM,1,N3_1_120,reg_logged
433,TRP,1,N3_1_120,reg_logged
434,TH,1,N3_1_120,reg_logged
435,CYA,1,N3_1_120,reg_logged
436,LM,1,N3_1_120,reg_logged
437,TAF,1,N3_1_120,reg_logged
438,LM,1,N3_1_120,reg_logged
439,LM,1,N3_1_120,reg_logged
440,CYA,1,N3_1_120,reg_logged
441,LM,1,N3_1_120,reg_logged
442,MA,1,N3_1_120,reg_logged
443,KA,1,N3_1_120,reg_logged
444,KA,1,N3_1_120,reg_logged
445,CYA,1,N3_1_120,reg_logged
446,TH,1,N3_1_120,reg_logged
447,KA,1,N3_1_120,reg_logged
448,LM,1,N3_1_120,reg_logged
449,MA,1,N3_1_120,reg_logged
450,KA,1,N3_1_120,reg_logged
451,LM,1,N3_1_120,reg_logged
452,KA,1,N3_1_120,reg_logged
453,KA,1,N3_1_120,reg_logged
454,LM,1,N3_1_120,reg_logged
455,CYA,1,N3_1_120,reg_logged
456,LM,1,N3_1_120,reg_logged
457,LM,1,N3_1_120,reg_logged
458,CSY,1,N3_1_120,reg_logged
459,LM,1,N3_1_130,reg_logged
460,FUE,1,N3_1_130,reg_logged
461,LM,1,N3_1_130,reg_logged
462,KA,1,N3_1_130,reg_logged
463,KA,1,N3_1_130,reg_logged
464,LM,1,N3_1_130,reg_logged
465,LM,1,N3_1_130,reg_logged
466,LM,1,N3_1_130,reg_logged
467,LM,1,N3_1_130,reg_logged
468,LM,1,N3_1_130,reg_logged
469,LM,1,N3_1_130,reg_logged
470,LM,1,N3_1_130,reg_logged
471,LM,1,N3_1_130,reg_logged
472,KA,1,N3_1_130,reg_logged
473,RI,1,N3_1_130,reg_logged
474,AZ,1,N3_1_130,reg_logged
475,TRP,1,N3_1_130,reg_logged
476,TRP,1,N3_1_130,reg_logged
477,RI,1,N3_1_130,reg_logged
478,AZ,1,N3_1_130,reg_logged
479,RI,1,N3_1_130,reg_logged
480,RI,1,N3_1_130,reg_logged
481,UNK,1,N3_1_130,reg_logged
482,UNK,1,N3_1_130,reg_logged
483,RI,1,N3_1_130,reg_logged
484,TRP,1,N3_1_130,reg_logged
485,KA,1,N3_1_130,reg_logged
486,LM,1,N3_1_130,reg_logged
487,LM,1,N3_1_130,reg_logged
488,KA,1,N3_1_130,reg_logged
489,KA,1,N3_1_130,reg_logged
490,LM,1,N3_1_130,reg_logged
491,LM,1,N3_1_130,reg_logged
492,KA,1,N3_1_130,reg_logged
493,KA,1,N3_1_130,reg_logged
494,LM,1,N3_1_130,reg_logged
495,RI,1,N3_1_130,reg_logged
496,KA,1,N3_1_130,reg_logged
497,LM,1,N3_1_130,reg_logged
498,KA,1,N3_1_130,reg_logged
499,KA,1,N3_1_130,reg_logged
500,KA,1,N3_1_130,reg_logged
501,KA,1,N3_1_130,reg_logged
502,ANT,1,N3_1_130,reg_logged
503,LPM,1,N3_1_130,reg_logged
504,KA,1,N3_1_130,reg_logged
505,KA,1,N3_1_130,reg_logged
506,CAL,1,N3_1_130,reg_logged
507,LM,1,N3_1_130,reg_logged
508,KA,1,N3_1_130,reg_logged
509,RI,1,N3_1_140,reg_logged
510,RI,1,N3_1_140,reg_logged
511,RI,1,N3_1_140,reg_logged
512,CYA,1,N3_1_140,reg_logged
513,RI,1,N3_1_140,reg_logged
514,UNK,1,N3_1_140,reg_logged
515,RI,1,N3_1_140,reg_logged
516,CAL,1,N3_1_140,reg_logged
517,RI,1,N3_1_140,reg_logged
518,CAL,1,N3_1_140,reg_logged
519,AL,1,N3_1_140,reg_logged
520,AL,1,N3_1_140,reg_logged
521,ANT,1,N3_1_140,reg_logged
522,CYA,1,N3_1_140,reg_logged
523,RI,1,N3_1_140,reg_logged
524,RI,1,N3_1_140,reg_logged
525,UNK,1,N3_1_140,reg_logged
526,RI,1,N3_1_140,reg_logged
527,RI,1,N3_1_140,reg_logged
528,KA,1,N3_1_140,reg_logged
529,MYH,1,N3_1_140,reg_logged
530,MYH,1,N3_1_140,reg_logged
531,RI,1,N3_1_140,reg_logged
532,UNK,1,N3_1_140,reg_logged
533,RI,1,N3_1_140,reg_logged
534,CAL,1,N3_1_140,reg_logged
535,KA,1,N3_1_140,reg_logged
536,CMI,1,N3_1_140,reg_logged
537,KA,1,N3_1_140,reg_logged
538,CAL,1,N3_1_140,reg_logged
539,KA,1,N3_1_140,reg_logged
540,KA,1,N3_1_140,reg_logged
541,RI,1,N3_1_140,reg_logged
542,LM,1,N3_1_140,reg_logged
543,RI,1,N3_1_140,reg_logged
544,LM,1,N3_1_150,reg_logged
545,LM,1,N3_1_150,reg_logged
546,LM,1,N3_1_150,reg_logged
547,LM,1,N3_1_150,reg_logged
548,LM,1,N3_1_150,reg_logged
549,LM,1,N3_1_150,reg_logged
550,LM,1,N3_1_150,reg_logged
551,MOA,1,N3_1_150,reg_logged
552,LYC,1,N3_1_150,reg_logged
553,TH,1,N3_1_150,reg_logged
554,LM,1,N3_1_150,reg_logged
555,KA,1,N3_1_150,reg_logged
556,GS,1,N3_1_150,reg_logged
557,CAL,1,N3_1_150,reg_logged
558,ANL,1,N3_1_150,reg_logged
559,AL,1,N3_1_150,reg_logged
560,CAL,1,N3_1_150,reg_logged
561,AL,1,N3_1_150,reg_logged
562,CMI,1,N3_1_150,reg_logged
563,LYC,1,N3_1_150,reg_logged
564,LYC,1,N3_1_150,reg_logged
565,CMI,1,N3_1_150,reg_logged
566,TAF,1,N3_1_150,reg_logged
567,COG,1,N3_1_150,reg_logged
568,LM,1,N3_1_150,reg_logged
569,TAF,1,N3_1_150,reg_logged
570,LM,1,N3_1_150,reg_logged
571,LM,1,N3_1_150,reg_logged
572,FUE,1,N3_1_150,reg_logged
573,CAL,1,N3_1_150,reg_logged
574,LM,1,N3_1_150,reg_logged
575,LYC,1,N3_1_150,reg_logged
576,MEL,1,N3_1_150,reg_logged
577,LM,1,N3_1_150,reg_logged
578,AL,1,N3_1_150,reg_logged
579,CPR,1,N3_1_160,reg_logged
580,RI,1,N3_1_160,reg_logged
581,GS,1,N3_1_160,reg_logged
582,LM,1,N3_1_160,reg_logged
583,LM,1,N3_1_160,reg_logged
584,TRR,1,N3_1_160,reg_logged
585,ANT,1,N3_1_160,reg_logged
586,GS,1,N3_1_160,reg_logged
587,GS,1,N3_1_160,reg_logged
588,LM,1,N3_1_160,reg_logged
589,LM,1,N3_1_160,reg_logged
590,LM,1,N3_1_160,reg_logged
591,LM,1,N3_1_160,reg_logged
592,RI,1,N3_1_160,reg_logged
593,LM,1,N3_1_160,reg_logged
594,CMI,1,N3_1_160,reg_logged
595,GS,1,N3_1_160,reg_logged
596,GS,1,N3_1_160,reg_logged
597,AL,1,N3_1_160,reg_logged
598,LM,1,N3_1_160,reg_logged
599,GS,1,N3_1_160,reg_logged
600,RI,1,N3_1_160,reg_logged
601,RI,1,N3_1_160,reg_logged
602,TH,1,N3_1_160,reg_logged
603,RI,1,N3_1_160,reg_logged
604,LM,1,N3_1_160,reg_logged
605,LM,1,N3_1_160,reg_logged
606,CPR,1,N3_1_160,reg_logged
607,RI,1,N3_1_160,reg_logged
608,RI,1,N3_1_160,reg_logged
609,KA,1,N3_1_160,reg_logged
610,RA,1,N3_1_160,reg_logged
611,KA,1,N3_1_160,reg_logged
612,LM,1,N3_1_160,reg_logged
613,KA,1,N3_1_160,reg_logged
614,KA,1,N3_1_160,reg_logged
615,KA,1,N3_1_160,reg_logged
616,KA,1,N3_1_160,reg_logged
617,KA,1,N3_1_160,reg_logged
618,KA,1,N3_1_160,reg_logged
619,KA,1,N3_1_160,reg_logged
620,TAF,1,N3_1_160,reg_logged
621,RI,1,N3_1_160,reg_logged
622,KA,1,N3_1_160,reg_logged
623,KA,1,N3_1_160,reg_logged
624,KA,1,N3_1_160,reg_logged
625,RI,1,N3_1_160,reg_logged
626,ANL,1,N3_1_170,reg_logged
627,KA,1,N3_1_170,reg_logged
628,CYA,1,N3_1_170,reg_logged
629,TRP,1,N3_1_170,reg_logged
630,LM,1,N3_1_170,reg_logged
631,LM,1,N3_1_170,reg_logged
632,TAF,1,N3_1_170,reg_logged
633,MYH,1,N3_1_170,reg_logged
634,MOA,1,N3_1_170,reg_logged
635,MOA,1,N3_1_170,reg_logged
636,TAF,1,N3_1_170,reg_logged
637,BP,1,N3_1_170,reg_logged
638,AL,1,N3_1_170,reg_logged
639,TT,1,N3_1_170,reg_logged
640,LYC,1,N3_1_170,reg_logged
641,MOA,1,N3_1_170,reg_logged
642,LYC,1,N3_1_180,reg_logged
643,BP,1,N3_1_180,reg_logged
644,MYH,1,N3_1_180,reg_logged
645,DU,1,N3_1_180,reg_logged
646,AZ,1,N3_1_180,reg_logged
647,TN,1,N3_1_180,reg_logged
648,GS,1,N3_1_180,reg_logged
649,LM,1,N3_1_180,reg_logged
650,GC,1,N3_1_180,reg_logged
651,RI,1,N3_1_180,reg_logged
652,ANT,1,N3_1_180,reg_logged
653,LM,1,N3_1_180,reg_logged
654,BP,1,N3_1_180,reg_logged
655,TAF,1,N3_1_180,reg_logged
656,AL,1,N3_1_180,reg_logged
657,MOA,1,N3_1_180,reg_logged
658,RI,1,N3_1_180,reg_logged
659,RI,1,N3_1_180,reg_logged
660,RI,1,N3_1_180,reg_logged
661,LM,1,N3_1_180,reg_logged
662,LM,1,N3_1_180,reg_logged
663,LM,1,N3_1_180,reg_logged
664,LM,1,N3_1_180,reg_logged
665,LM,1,N3_1_180,reg_logged
666,LM,1,N3_1_180,reg_logged
667,LM,1,N3_1_180,reg_logged
668,LM,1,N3_1_180,reg_logged
669,LM,1,N3_1_180,reg_logged
670,LM,1,N3_1_180,reg_logged
671,LM,1,N3_1_180,reg_logged
672,LM,1,N3_1_180,reg_logged
673,LM,1,N3_1_180,reg_logged
674,LM,1,N3_1_180,reg_logged
675,LM,1,N3_1_180,reg_logged
676,LM,1,N3_1_180,reg_logged
677,LM,1,N3_1_180,reg_logged
678,LM,1,N3_1_180,reg_logged
679,COG,1,N3_1_180,reg_logged
680,LYC,1,N3_1_180,reg_logged
681,MA,1,N3_1_180,reg_logged
682,DU,1,N3_1_180,reg_logged
683,TAF,1,N3_1_180,reg_logged
684,MA,1,N3_1_180,reg_logged
685,CYA,1,N3_1_180,reg_logged
